RecordType,StartTime,Demand
VD,2017-01-02T17:30:00Z,46140
VD,2017-01-02T17:35:00Z,46139
VD,2017-01-02T17:40:00Z,46145
VD,2017-01-02T17:45:00Z,46186
VD,2017-01-02T17:50:00Z,46112
VD,2017-01-02T17:55:00Z,46095
VD,2017-01-02T18:00:00Z,45952
VD,2017-01-02T18:05:00Z,45870
VD,2017-01-02T18:10:00Z,45742
VD,2017-01-02T18:15:00Z,45570
VD,2017-01-02T18:20:00Z,45383
VD,2017-01-02T18:25:00Z,45266
VD,2017-01-02T18:30:00Z,45217
VD,2017-01-02T18:35:00Z,45214
VD,2017-01-02T18:40:00Z,44987
VD,2017-01-02T18:45:00Z,44903
VD,2017-01-02T18:50:00Z,44714
VD,2017-01-02T18:55:00Z,44418
VD,2017-01-02T19:00:00Z,44355
VD,2017-01-02T19:05:00Z,44346
VD,2017-01-02T19:10:00Z,44290
VD,2017-01-02T19:15:00Z,44048
VD,2017-01-02T19:20:00Z,43841
VD,2017-01-02T19:25:00Z,43744
VD,2017-01-02T19:30:00Z,43592
VD,2017-01-02T19:35:00Z,43229
VD,2017-01-02T19:40:00Z,43087
VD,2017-01-02T19:45:00Z,42811
VD,2017-01-02T19:50:00Z,42436
VD,2017-01-02T19:55:00Z,42075
VD,2017-01-02T20:00:00Z,42241
VD,2017-01-02T20:05:00Z,41898
VD,2017-01-02T20:10:00Z,41680
VD,2017-01-02T20:15:00Z,41432
VD,2017-01-02T20:20:00Z,41042
VD,2017-01-02T20:25:00Z,40746
VD,2017-01-02T20:30:00Z,40726
VD,2017-01-02T20:35:00Z,40526
VD,2017-01-02T20:40:00Z,40486
VD,2017-01-02T20:45:00Z,40234
VD,2017-01-02T20:50:00Z,39897
VD,2017-01-02T20:55:00Z,39748
VD,2017-01-02T21:00:00Z,39875
VD,2017-01-02T21:05:00Z,39483
VD,2017-01-02T21:10:00Z,38922
VD,2017-01-02T21:15:00Z,38660
VD,2017-01-02T21:20:00Z,38282
VD,2017-01-02T21:25:00Z,37864
VD,2017-01-02T21:30:00Z,37542
VD,2017-01-02T21:35:00Z,37187
VD,2017-01-02T21:40:00Z,36872
VD,2017-01-02T21:45:00Z,36608
VD,2017-01-02T21:50:00Z,36239
VD,2017-01-02T21:55:00Z,35978
VD,2017-01-02T22:00:00Z,36142
VD,2017-01-02T22:05:00Z,35744
VD,2017-01-02T22:10:00Z,35372
VD,2017-01-02T22:15:00Z,34965
VD,2017-01-02T22:20:00Z,34616
VD,2017-01-02T22:25:00Z,34287
VD,2017-01-02T22:30:00Z,34199
VD,2017-01-02T22:35:00Z,33928
VD,2017-01-02T22:40:00Z,33599
VD,2017-01-02T22:45:00Z,33188
VD,2017-01-02T22:50:00Z,32769
VD,2017-01-02T22:55:00Z,32336
VD,2017-01-02T23:00:00Z,31910
VD,2017-01-02T23:05:00Z,31153
